variant,canonical,note
fireworks/Kimi-K2-Instruct-0905,Kimi-K2-Instruct-0905,defrag: serving-provider prefix
chutes/Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,defrag: serving-provider prefix (harness pair; Fiction.LiveBench conflict resolved by dedup=max -> 0.625)
deepinfra/Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,defrag: serving-provider prefix (harness pair; Fiction.LiveBench conflict resolved by dedup=max -> 0.625)
Claude Opus 4 (Thinking),claude-opus-4-20250514_unknown,Scale SEAL; thinking=_unknown effort
Claude Sonnet 4 (Thinking),claude-sonnet-4-20250514_unknown,Scale SEAL; thinking=_unknown effort
claude-4-opus-20250514-thinking,claude-opus-4-20250514_unknown,LiveBench thinking → _unknown effort
claude-4-opus-thinking,claude-opus-4-20250514_unknown,LiveBench short form; sole Opus 4
claude-4-sonnet-thinking,claude-sonnet-4-20250514_unknown,LiveBench short form; sole Sonnet 4
claude-haiku-4-5-20251001-thinking,claude-haiku-4-5-20251001_unknown,LiveBench thinking → _unknown effort
claude-opus-4-1-20250805-thinking,claude-opus-4-1-20250805_unknown,LiveBench thinking → _unknown effort
claude-opus-4-5-20251101-thinking,claude-opus-4-5-20251101_unknown,LiveBench thinking → _unknown effort
claude-opus-4-6-thinking,claude-opus-4-6_unknown,LiveBench thinking → _unknown effort
claude-sonnet-4-5-20250929-thinking,claude-sonnet-4-5-20250929_unknown,LiveBench thinking → _unknown effort
claude-sonnet-4-thinking,claude-sonnet-4-20250514_unknown,LiveBench thinking → _unknown effort
claude-sonnet-4-5 (thinking),claude-sonnet-4-5-20250929_unknown,SEAL display; thinking → _unknown effort
claude-opus-4-6 (thinking),claude-opus-4-6_unknown,SEAL display (marker-stripped); thinking → _unknown
gpt-5-2025-08-07-thinking,gpt-5-2025-08-07_unknown,LiveBench thinking → _unknown effort
gpt-5-thinking,gpt-5-2025-08-07_unknown,LiveBench short form; sole GPT-5 base
gpt-5-mini-thinking,gpt-5-mini-2025-08-07_unknown,LiveBench short form; sole GPT-5 mini
gpt-5.1-2025-11-13-thinking,gpt-5.1-2025-11-13_unknown,LiveBench thinking → _unknown effort
gpt-5.1-thinking,gpt-5.1-2025-11-13_unknown,LiveBench short form; sole GPT-5.1
Gemini 2.0 Flash Thinking (January 2025),gemini-2.0-flash-thinking-exp-01-21,Scale SEAL display name
Gemini 2.0 Flash Thinking Experimental,gemini-2.0-flash-thinking-exp-01-21,Scale SEAL display name
Gemini 2.0 Flash Thinking Experimental (January 2025),gemini-2.0-flash-thinking-exp-01-21,Scale SEAL display name
gemini-2.5-flash (Thinking),gemini-2.5-flash,SEAL marker-stripped; 2.5-flash thinking IS the default mode
gemini-2.5-pro (Thinking),gemini-2.5-pro,SEAL marker-stripped; 2.5-pro thinking IS the default mode
gemini-3-pro-preview (Thinking),gemini-3-pro-preview,SEAL marker-stripped; thinking IS the default mode
gemini-3.1-pro (thinking),gemini-3.1-pro-preview,SEAL marker-stripped; thinking IS the default mode
gemini-3.1-flash-live-preview (Thinking),gemini-3.1-flash-live-preview,SEAL marker-stripped; thinking IS the default mode
claude-opus-4-5 (high),claude-opus-4-5-20251101_high,SEAL display; sole opus-4-5 = 20251101
gemini-3.1-flash-lite (high),gemini-3.1-flash-lite_high,SEAL display → underscore form
gemini-3.1-pro-preview (high),gemini-3.1-pro-preview_high,SEAL display → underscore form
zai-org/glm-4.7_high,glm-4.7_high,defrag: serving-provider prefix
claude-opus-4-6 (CoWork),claude-opus-4-6,SEAL display; CoWork config = base model
OpenAI GPT-4o,gpt-4o-2024-08-06,
Pixtral 12B (September 2024),Pixtral-12B-2409,
Gemini 2.0 Pro Experimental (Feb 2025),gemini-2.0-pro-exp-02-05,
Gemini 2.0 Pro Experimental (February 2025),gemini-2.0-pro-exp-02-05,
o1 Pro (March 2025),o1-pro-2025-03-19,
GPT-4,gpt-4-0613,
GPT-4 (November 2024),gpt-4o-2024-11-20,
OpenAI GPT-5,gpt-5-2025-08-07_medium,
claude-opus-4-6 (Non-Thinking),claude-opus-4-6_unknown,Non-Thinking = default mode = _unknown
claude-fable-5 (max),claude-fable-5_max,SEAL effort spelling; underscore form is canonical
gpt-5.6-sol (max),gpt-5.6-sol_max,SEAL effort spelling; underscore form is canonical
kimi-k3 (max),kimi-k3_max,SEAL effort spelling; underscore form is canonical
Muse Spark 1.1,muse-spark-1.1,SEAL display name; slug form is canonical (muse-spark family)
grok-4-3_high,grok-4.3_high,Surge GDP.pdf dash spelling; dot form is canonical
Pixtral Large (November 2024),pixtral-large-2411,display name with date; matches the Pixtral 12B (September 2024) precedent
Mistral Medium 3,mistral-medium-2505,"lineage_map already places both on node medium-2505 as bare, same date"
o3-pro,o3-pro-2025-06-10,"SEAL dateless row; lineage_map lists both as bare on node o3-pro, 2025-06-10"
gemini-2.0-flash-02-05,gemini-2.0-flash-001,SEAL board names it by release date; same model and same 2025-02-05 release as the versioned Epoch id
claude-opus-4-8,claude-opus-4-8_unknown,Kaggle board states no effort setting; unknown-effort bucket
claude-sonnet-5,claude-sonnet-5_unknown,Kaggle board states no effort setting; unknown-effort bucket
gemini-3.5-flash,gemini-3.5-flash_unknown,Kaggle board states no effort setting; unknown-effort bucket
gemini-3.6-flash,gemini-3.6-flash_unknown,Kaggle board states no effort setting; unknown-effort bucket
gpt-5.1-2025-11-13,gpt-5.1-2025-11-13_unknown,Kaggle board states no effort setting; unknown-effort bucket
gpt-5.4-2026-03-05,gpt-5.4-2026-03-05_unknown,Kaggle board states no effort setting; unknown-effort bucket
gpt-5.6-luna,gpt-5.6-luna_unknown,Kaggle board states no effort setting; unknown-effort bucket
gpt-5.6-sol,gpt-5.6-sol_unknown,Kaggle board states no effort setting; unknown-effort bucket
gpt-5.6-terra,gpt-5.6-terra_unknown,Kaggle board states no effort setting; unknown-effort bucket
grok-3-mini,grok-3-mini_unknown,Kaggle board states no effort setting; unknown-effort bucket
o1-2024-12-17,o1-2024-12-17_unknown,Kaggle board states no effort setting; unknown-effort bucket
o1-mini-2024-09-12,o1-mini-2024-09-12_unknown,Kaggle board states no effort setting; unknown-effort bucket
o3-mini-2025-01-31,o3-mini-2025-01-31_unknown,Kaggle board states no effort setting; unknown-effort bucket
Inkling (xHigh),Inkling_xhigh,Scale SEAL alias; inline xHigh effort tag = Epoch's Inkling_xhigh
Inkling (Thinking),Inkling_unknown,SEAL thinking w/ unspecified budget -> _unknown effort bucket
Inkling-small,inkling-small,Scale SEAL spelling; case variant of Epoch's inkling-small
claude-sonnet-4-5-thinking-20250929,claude-sonnet-4-5-20250929_unknown,Kaggle name; thinking w/ unspecified budget -> _unknown effort bucket
deepseek-v3,DeepSeek-V3,Kaggle lowercase spelling
deepseek-v3.1,DeepSeek-V3.1,Kaggle lowercase spelling; no thinking tag in the name -> bare mode
grok-4.5-0708,grok-4.5_unknown,Kaggle date-suffixed name for the 2026-07-08 release; no effort setting -> unknown bucket
open-mixtral-8x22b-2404,open-mixtral-8x22b,2404 is the version tag of the same Mistral API endpoint
claude-opus-5 (xhigh),claude-opus-5_xhigh,SEAL MCP Atlas spelling; paren effort -> standard suffix
gemini-2.5-flash-preview-05-20_23K,gemini-2.5-flash-preview-05-20_24K,Epoch id says 23K but its own Name says Thinking 24K and the budget is 24576 tokens = 24K; 23K exists in no Gemini config
gemini-2.5-flash-preview-04-17 (24K thinking),gemini-2.5-flash-preview-04-17_24K,paren budget -> standard _24K suffix
gemini-2.5-flash-preview-04-17 (16K thinking),gemini-2.5-flash-preview-04-17_16K,paren budget -> standard _16K suffix
QwQ-32B (16K thinking),QwQ-32B_16K,paren budget -> standard _16K suffix
