model_version,benchmark,n,score_min,score_max,sources,spread
gemini-3-pro-preview,SimpleQA Verified,2,0.7210300429,0.729,"deepmind_simpleqa-verified.json, epoch_live_benchmarks.csv",0.007969957100000036
falcon-7b,BIG-Bench Hard (BBH),2,0.28,0.2877,bbh_external.csv,0.007699999999999985
PaLM 540B,BoolQ,2,0.88,0.887,bool_q_external.csv,0.007000000000000006
opt-13b,MMLU,2,0.244,0.251,mmlu_external.csv,0.007000000000000006
falcon-40b,PIQA,2,0.824,0.83,piqa_external.csv,0.006000000000000005
mpt-7b,WinoGrande,3,0.68,0.686,wino_grande_external.csv,0.006000000000000005
GLaM (MoE),HellaSwag,3,0.766,0.772,hella_swag_external.csv,0.006000000000000005
gpt-j-6b,MMLU,2,0.251,0.257,mmlu_external.csv,0.006000000000000005
Qwen2.5-VL-72B-Instruct,OS World (Screenshot),2,0.044000000000000004,0.05,os_world_external.csv,0.005999999999999998
MiniMax-M2.5,TerminalBench,2,0.422,0.427,terminalbench_external.csv,0.0050000000000000044
RedPajama-INCITE-7B-Base,MMLU,2,0.258,0.263,mmlu_external.csv,0.0050000000000000044
llava-v1.6-vicuna-7b,ScienceQA,2,0.701,0.706,science_qa_external.csv,0.0050000000000000044
Phi-3-medium-128k-instruct,MMLU,3,0.775,0.78,mmlu_external.csv,0.0050000000000000044
falcon-40b,WinoGrande,2,0.764,0.769,wino_grande_external.csv,0.0050000000000000044
Llama-2-70b-chat,MMLU,2,0.594,0.599,mmlu_external.csv,0.0050000000000000044
PaLM 540B,HellaSwag,3,0.834,0.838,hella_swag_external.csv,0.0040000000000000036
T5-Large,SuperGLUE,2,0.823,0.827,superglue_external.csv,0.0040000000000000036
claude-fable-5,Remote Labor Index,2,0.158,0.161,"rli_external.csv, seal/rli.html",0.0030000000000000027
gpt-oss-20b_unknown,TerminalBench,2,0.031,0.034,terminalbench_external.csv,0.0030000000000000027
gpt-oss-20b,TerminalBench,2,0.031,0.034,terminalbench_external.csv,0.0030000000000000027
claude-haiku-4-5-20251001_unknown,ExploitBench,2,0.134,0.1369999999999999,exploitbench_external.csv,0.0029999999999998916
Phi-3-mini-4k-instruct,LiveBench,2,0.2208,0.2236,live_bench_external.csv,0.002799999999999997
Baichuan-2-13B-Base,BIG-Bench Hard (BBH),3,0.4878,0.49,bbh_external.csv,0.0021999999999999797
gemini-3.1-pro-preview,SimpleQA Verified,2,0.773,0.775178026449644,"deepmind_simpleqa-verified.json, epoch_live_benchmarks.csv",0.0021780264496439328
Llama-2-70b-hf,PIQA,2,0.826,0.828,piqa_external.csv,0.0020000000000000018
magistral-medium-2506,ARC-AGI,2,0.0591,0.061,arc_agi_external.csv,0.001899999999999999
claude-opus-4-5-20251101,PostTrainBench,2,0.1714,0.1729,posttrainbench_external.csv,0.0015000000000000013
glm-4.7,TerminalBench,2,0.3329999999999999,0.334,terminalbench_external.csv,0.001000000000000112
Baichuan-2-7B-Base,GSM8K,2,0.245,0.246,gsm8k_external.csv,0.0010000000000000009
Yi-34B,MMLU,2,0.762,0.763,mmlu_external.csv,0.0010000000000000009
Mixtral-8x7B-v0.1,MMLU,2,0.705,0.706,mmlu_external.csv,0.0010000000000000009
gemini-3.1-pro-preview,BALROG,2,0.569,0.57,balrog_external.csv,0.0010000000000000009
Llama-2-7b,WinoGrande,2,0.691,0.692,wino_grande_external.csv,0.0010000000000000009
Gopher (280B),BoolQ,2,0.793,0.794,bool_q_external.csv,0.0010000000000000009
LLaMA-33B,PIQA,2,0.822,0.823,piqa_external.csv,0.0010000000000000009
Gopher (280B),WinoGrande,2,0.701,0.702,wino_grande_external.csv,0.0010000000000000009
text-davinci-001,ScienceQA,2,0.7397,0.7404,science_qa_external.csv,0.0006999999999999229
Baichuan-2-7B-Base,BIG-Bench Hard (BBH),2,0.4156,0.416,bbh_external.csv,0.00039999999999995595
gpt-5.1-2025-11-13_high,ARC-AGI,2,0.728,0.7283,arc_agi_external.csv,0.00029999999999996696
claude-opus-4-7_max,ARC-AGI-2,2,0.758,0.7583,arc_agi_2_external.csv,0.00029999999999996696
gpt-5.2-2025-12-11_xhigh,ARC-AGI,2,0.8617,0.862,arc_agi_external.csv,0.00029999999999996696
claude-opus-4-7_high,ARC-AGI-2,2,0.683,0.6833,arc_agi_2_external.csv,0.00029999999999996696
Baichuan-2-13B-Base,MMLU,2,0.5917,0.592,mmlu_external.csv,0.00029999999999996696
claude-opus-4-5-20251101_32K,ARC-AGI,2,0.758,0.7583,arc_agi_external.csv,0.00029999999999996696
gpt-5.1-2025-11-13_medium,ARC-AGI,2,0.5767,0.577,arc_agi_external.csv,0.00029999999999996696
chatglm2-6b,BIG-Bench Hard (BBH),2,0.3368,0.337,bbh_external.csv,0.00020000000000003348
gemini-3.1-pro-preview,ARC-AGI-2,2,0.7708,0.771,arc_agi_2_external.csv,0.00019999999999997797
gemini-1.5-pro-002,MMLU,2,0.868964534966529,0.869,"mmlu_external.csv, open-benchmarks_mmlu.json",3.546503347096053e-05
gpt-5.2-2025-12-11_medium,Remote Labor Index,2,0.0250199999999999,0.025019999999999997,"rli_external.csv, seal/rli.html",9.71445146547012e-17
