model,benchmark,score,model_idx,benchmark_idx
GPT-5 mini,FrontierMath-2025-02-28-Private,0.27241379310344827,71,12
GPT-5 mini,FrontierMath-Tier-4-2025-07-01-Private,0.0625,71,13
GPT-5 mini,GPQA diamond,0.6666666666666666,71,15
GPT-5 mini,MATH level 5,0.978474320241692,71,21
GPT-5 mini,OTIS Mock AIME 2024-2025,0.8666666666666667,71,25
GPT-5 mini,SWE-Bench Verified (Bash Only),0.598,71,30
GPT-5 mini,SimpleQA Verified,0.21,71,29
GPT-5 mini,Terminal Bench,0.319,71,31
GPT-5 mini,VPCT,0.402,71,35
GPT-5 mini,WeirdML,0.5267,71,36
GPT-5 nano,Fiction.LiveBench,0.444,72,11
GPT-5 nano,FrontierMath-2025-02-28-Private,0.08275862068965517,72,12
GPT-5 nano,FrontierMath-Tier-4-2025-07-01-Private,0.02083333333333333,72,13
GPT-5 nano,GPQA diamond,0.5925925925925926,72,15
GPT-5 nano,MATH level 5,0.952416918429003,72,21
GPT-5 nano,OTIS Mock AIME 2024-2025,0.8111111111111111,72,25
GPT-5 nano,SWE-Bench Verified (Bash Only),0.348,72,30
GPT-5 nano,SimpleQA Verified,0.122,72,29
GPT-5 nano,Terminal Bench,0.115,72,31
GPT-5 nano,VPCT,0.372,72,35
GPT-5 nano,WeirdML,0.3806,72,36
GPT-5.1,ARC-AGI,0.728,74,3
GPT-5.1,Chess Puzzles,0.32,74,8
GPT-5.1,FrontierMath-2025-02-28-Private,0.3103448275862069,74,12
GPT-5.1,FrontierMath-Tier-4-2025-07-01-Private,0.125,74,13
GPT-5.1,GPQA diamond,0.8350168350168351,74,15
GPT-5.1,GSO-Bench,0.137,74,17
GPT-5.1,OTIS Mock AIME 2024-2025,0.8861111111111111,74,25
GPT-5.1,SWE-Bench Verified (Bash Only),0.66,74,30
GPT-5.1,SimpleQA Verified,0.489,74,29
GPT-5.1,Terminal Bench,0.476,74,31
GPT-5.1,VPCT,0.587,74,35
GPT-5.1,WeirdML,0.6077,74,36
GPT-5.2,ARC-AGI,0.862,75,3
GPT-5.2,Chess Puzzles,0.49,75,8
GPT-5.2,FrontierMath-2025-02-28-Private,0.407,75,12
GPT-5.2,FrontierMath-Tier-4-2025-07-01-Private,0.313,75,13
GPT-5.2,GPQA diamond,0.8853333333333334,75,15
GPT-5.2,GSO-Bench,0.274,75,17
GPT-5.2,OTIS Mock AIME 2024-2025,0.9611111111111112,75,25
GPT-5.2,SWE-Bench Verified (Bash Only),0.718,75,30
GPT-5.2,SimpleBench,0.34959973983989595,75,28
GPT-5.2,SimpleQA Verified,0.389,75,29
GPT-5.2,Terminal Bench,0.649,75,31
GPT-5.2,VPCT,0.84,75,35
GPT-5.2,WeirdML,0.722,75,36
Gemini 1.0 Pro,GPQA diamond,0.11952861952861953,36,15
Gemini 1.0 Pro,MATH level 5,0.11244335347432025,36,21
Gemini 1.0 Pro,MMLU,0.6,36,22
Gemini 1.0 Pro,OTIS Mock AIME 2024-2025,0.01111111111111111,36,25
Gemini 1.5 Flash (May 2024),GPQA diamond,0.20496632996632994,37,15
Gemini 1.5 Flash (May 2024),GSM8K,0.824,37,16
Gemini 1.5 Flash (May 2024),MATH level 5,0.2512273413897281,37,21
Gemini 1.5 Flash (May 2024),MMLU,0.7053333333333334,37,22
Gemini 1.5 Flash (May 2024),OTIS Mock AIME 2024-2025,0.03888888888888889,37,25
Gemini 1.5 Flash (May 2024),VideoMME,0.604,37,34
Gemini 1.5 Flash (Sep 2024),Balrog,0.146,38,5
Gemini 1.5 Flash (Sep 2024),FrontierMath-2025-02-28-Private,0,38,12
Gemini 1.5 Flash (Sep 2024),GPQA diamond,0.2975589225589226,38,15
Gemini 1.5 Flash (Sep 2024),GeoBench,0.76,38,14
Gemini 1.5 Flash (Sep 2024),MATH level 5,0.6186744712990937,38,21
Gemini 1.5 Flash (Sep 2024),MMLU,0.652,38,22
Gemini 1.5 Flash (Sep 2024),OTIS Mock AIME 2024-2025,0.1625,38,25
Gemini 1.5 Flash (Sep 2024),PIQA,0.75,38,26
Gemini 1.5 Flash (Sep 2024),WeirdML,0.2487,38,36
Gemini 1.5 Pro,Balrog,0.21,39,5
Gemini 1.5 Pro,CadEval,0.34,39,7
Gemini 1.5 Pro,Cybench,0.075,39,9
Gemini 1.5 Pro,GPQA diamond,0.42971380471380466,39,15
Gemini 1.5 Pro,MATH level 5,0.7039274924471299,39,21
Gemini 1.5 Pro,MMLU,0.8253333333333334,39,22
Gemini 1.5 Pro,OTIS Mock AIME 2024-2025,0.23055555555555557,39,25
Gemini 1.5 Pro,SimpleBench,0.12519965007986003,39,28
Gemini 1.5 Pro,The Agent Company,0.034,39,32
Gemini 1.5 Pro,VideoMME,0.6666666666666666,39,34
Gemini 1.5 Pro,WeirdML,0.222,39,36
Gemini 2.0 Flash,Aider polyglot,0.38200000000000006,40,1
Gemini 2.0 Flash,CadEval,0.3,40,7
Gemini 2.0 Flash,Fiction.LiveBench,0.611,40,11
Gemini 2.0 Flash,FrontierMath-2025-02-28-Private,0.01724137931034482,40,12
Gemini 2.0 Flash,GPQA diamond,0.521885521885522,40,15
Gemini 2.0 Flash,GeoBench,0.77,40,14
Gemini 2.0 Flash,Lech Mazur Writing,0.7150000000000001,40,20
Gemini 2.0 Flash,MATH level 5,0.8216578549848943,40,21
Gemini 2.0 Flash,MMLU,0.7293333333333334,40,22
Gemini 2.0 Flash,OTIS Mock AIME 2024-2025,0.3111111111111111,40,25
Gemini 2.0 Flash,SWE-Bench Verified (Bash Only),0.1352,40,30
Gemini 2.0 Flash,SimpleBench,0.1731996692798677,40,28
Gemini 2.0 Flash,The Agent Company,0.114,40,32
Gemini 2.0 Flash,WeirdML,0.2577,40,36
Gemini 2.0 Flash Thinking (Jan 2025),Aider polyglot,0.182,41,1
Gemini 2.0 Flash Thinking (Jan 2025),Fiction.LiveBench,0.528,41,11
Gemini 2.0 Flash Thinking (Jan 2025),GPQA diamond,0.4276094276094276,41,15
Gemini 2.0 Flash Thinking (Jan 2025),Lech Mazur Writing,0.738,41,20
Gemini 2.0 Flash Thinking (Jan 2025),OTIS Mock AIME 2024-2025,0.5777777777777777,41,25
Gemini 2.0 Flash Thinking (Jan 2025),SimpleBench,0.16839966735986692,41,28
Gemini 2.0 Pro,Aider polyglot,0.35600000000000004,42,1
Gemini 2.0 Pro,Fiction.LiveBench,0.417,42,11
Gemini 2.0 Pro,GPQA diamond,0.5420875420875421,42,15
Gemini 2.0 Pro,MATH level 5,0.8345921450151057,42,21
Gemini 2.5 Flash (Apr 2025),ARC-AGI,0.323,43,3
Gemini 2.5 Flash (Apr 2025),Aider polyglot,0.47100000000000003,43,1
Gemini 2.5 Flash (Apr 2025),Fiction.LiveBench,0.472,43,11
Gemini 2.5 Flash (Apr 2025),GeoBench,0.73,43,14
Gemini 2.5 Flash (Apr 2025),Lech Mazur Writing,0.7650000000000001,43,20
Gemini 2.5 Flash (Apr 2025),OTIS Mock AIME 2024-2025,0.7305555555555555,43,25
Gemini 2.5 Flash (Apr 2025),SWE-Bench Verified (Bash Only),0.2873,43,30
Gemini 2.5 Flash (Apr 2025),VPCT,0.38,43,35
Gemini 2.5 Flash (Jun 2025),Balrog,0.335,44,5
Gemini 2.5 Flash (Jun 2025),FrontierMath-2025-02-28-Private,0.04844290657439446,44,12
Gemini 2.5 Flash (Jun 2025),FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,44,13
Gemini 2.5 Flash (Jun 2025),SimpleBench,0.29439971775988705,44,28
Gemini 2.5 Flash (May 2025),ARC-AGI,0.333,45,3
Gemini 2.5 Flash (May 2025),Aider polyglot,0.551,45,1
Gemini 2.5 Flash (May 2025),Fiction.LiveBench,0.778,45,11
Gemini 2.5 Flash (May 2025),GeoBench,0.76,45,14
Gemini 2.5 Flash (May 2025),OTIS Mock AIME 2024-2025,0.7083333333333334,45,25
Gemini 2.5 Flash (May 2025),WeirdML,0.4095,45,36
Gemini 2.5 Flash (Sep 2025),Terminal Bench,0.171,46,31
Gemini 2.5 Flash (Sep 2025),The Agent Company,0.411,46,32
Gemini 2.5 Flash (Sep 2025),VPCT,0.462,46,35
Gemini 2.5 Flash (Sep 2025),WeirdML,0.4191,46,36
Gemini 2.5 Pro (Jun 2025),ARC-AGI,0.313,47,3
Gemini 2.5 Pro (Jun 2025),Aider polyglot,0.7909999999999999,47,1
Gemini 2.5 Pro (Jun 2025),Chess Puzzles,0.2,47,8
Gemini 2.5 Pro (Jun 2025),DeepResearch Bench,0.428,47,10
Gemini 2.5 Pro (Jun 2025),Fiction.LiveBench,0.917,47,11
Gemini 2.5 Pro (Jun 2025),FrontierMath-2025-02-28-Private,0.1413793103448276,47,12
Gemini 2.5 Pro (Jun 2025),FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,47,13
Gemini 2.5 Pro (Jun 2025),GPQA diamond,0.803872053872054,47,15
Gemini 2.5 Pro (Jun 2025),GSO-Bench,0.039,47,17
Gemini 2.5 Pro (Jun 2025),Lech Mazur Writing,0.8602000000000001,47,20
Gemini 2.5 Pro (Jun 2025),OTIS Mock AIME 2024-2025,0.8416666666666667,47,25
Gemini 2.5 Pro (Jun 2025),SimpleBench,0.5487998195199278,47,28
Gemini 2.5 Pro (Jun 2025),SimpleQA Verified,0.56,47,29
Gemini 2.5 Pro (Jun 2025),Terminal Bench,0.326,47,31
Gemini 2.5 Pro (Jun 2025),VPCT,0.464,47,35
Gemini 2.5 Pro (Jun 2025),WeirdML,0.5403,47,36
Gemini 2.5 Pro (Mar 2025),ARC-AGI,0.33,48,3
Gemini 2.5 Pro (Mar 2025),Aider polyglot,0.7290000000000001,48,1
Gemini 2.5 Pro (Mar 2025),Balrog,0.433,48,5
Gemini 2.5 Pro (Mar 2025),CadEval,0.64,48,7
Gemini 2.5 Pro (Mar 2025),Fiction.LiveBench,0.667,48,11
Gemini 2.5 Pro (Mar 2025),GPQA diamond,0.7845117845117845,48,15
Gemini 2.5 Pro (Mar 2025),GeoBench,0.81,48,14
Gemini 2.5 Pro (Mar 2025),Lech Mazur Writing,0.8050000000000002,48,20
Gemini 2.5 Pro (Mar 2025),MATH level 5,0.9556268882175226,48,21
Gemini 2.5 Pro (Mar 2025),SimpleBench,0.4191997676799071,48,28
Gemini 2.5 Pro (Mar 2025),VPCT,0.48,48,35
Gemini 2.5 Pro (May 2025),Aider polyglot,0.7690000000000001,49,1
Gemini 2.5 Pro (May 2025),Fiction.LiveBench,0.667,49,11
Gemini 2.5 Pro (May 2025),GPQA diamond,0.5555555555555555,49,15
Gemini 2.5 Pro (May 2025),GeoBench,0.86,49,14
Gemini 2.5 Pro (May 2025),MATH level 5,0.959025679758308,49,21
Gemini 2.5 Pro (May 2025),SWE-Bench Verified (Bash Only),0.536,49,30
Gemini 2.5 Pro (May 2025),The Agent Company,0.303,49,32
Gemini 2.5 Pro (May 2025),VPCT,0.405,49,35
Gemini 3 Flash,Chess Puzzles,0.38,50,8
Gemini 3 Flash,FrontierMath-2025-02-28-Private,0.356401384083045,50,12
Gemini 3 Flash,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,50,13
Gemini 3 Flash,GPQA diamond,0.7760942760942761,50,15
Gemini 3 Flash,GSO-Bench,0.098,50,17
Gemini 3 Flash,GeoBench,0.88,50,14
Gemini 3 Flash,OTIS Mock AIME 2024-2025,0.9277777777777778,50,25
Gemini 3 Flash,SimpleBench,0.5331998132799253,50,28
Gemini 3 Flash,SimpleQA Verified,0.674,50,29
Gemini 3 Flash,Terminal Bench,0.643,50,31
Gemini 3 Flash,VPCT,0.726,50,35
Gemini 3 Flash,WeirdML,0.616,50,36
Gemini 3 Pro,ARC-AGI,0.75,51,3
Gemini 3 Pro,Chess Puzzles,0.31,51,8
Gemini 3 Pro,FrontierMath-2025-02-28-Private,0.376,51,12
Gemini 3 Pro,FrontierMath-Tier-4-2025-07-01-Private,0.1875,51,13
Gemini 3 Pro,GPQA diamond,0.9015151515151515,51,15
Gemini 3 Pro,GSO-Bench,0.186,51,17
Gemini 3 Pro,GeoBench,0.84,51,14
Gemini 3 Pro,OTIS Mock AIME 2024-2025,0.9138888888888888,51,25
Gemini 3 Pro,SWE-Bench Verified (Bash Only),0.742,51,30
Gemini 3 Pro,SimpleBench,0.7167998867199546,51,28
Gemini 3 Pro,SimpleQA Verified,0.729,51,29
Gemini 3 Pro,Terminal Bench,0.618,51,31
Gemini 3 Pro,VPCT,0.91,51,35
Gemini 3 Pro,WeirdML,0.6993,51,36
Gemma 2 27B,GPQA diamond,0.1531986531986532,52,15
Gemma 2 27B,MATH level 5,0.2788897280966767,52,21
Gemma 2 27B,MMLU,0.676,52,22
Gemma 2 27B,OTIS Mock AIME 2024-2025,0.01388888888888888,52,25
Gemma 2 9B,GPQA diamond,0.0328282828282828,53,15
Gemma 2 9B,MATH level 5,0.2100641993957704,53,21
Gemma 2 9B,MMLU,0.628,53,22
Gemma 2 9B,OTIS Mock AIME 2024-2025,0.00555555555555555,53,25
Gemma 2B,ARC AI2,0.22799999999999998,54,4
Gemma 2B,BBH,0.13599999999999998,54,6
Gemma 2B,GSM8K,0.177,54,16
Gemma 2B,HellaSwag,0.6186666666666666,54,18
Gemma 2B,MMLU,0.23066666666666666,54,22
Gemma 2B,PIQA,0.546,54,26
Gemma 2B,TriviaQA,0.532,54,33
Gemma 2B,Winogrande,0.30800000000000005,54,37
Gemma 3 27B,Aider polyglot,0.049,55,1
Gemma 3 27B,Fiction.LiveBench,0.333,55,11
Gemma 3 27B,GPQA diamond,0.3181818181818183,55,15
Gemma 3 27B,GeoBench,0.52,55,14
Gemma 3 27B,Lech Mazur Writing,0.799,55,20
Gemma 3 27B,MATH level 5,0.740370090634441,55,21
Gemma 3 27B,OTIS Mock AIME 2024-2025,0.19722222222222224,55,25
Gemma 7B,ANLI,0.2305003847498076,56,2
Gemma 7B,ARC AI2,0.7106666666666667,56,4
Gemma 7B,BBH,0.4013333333333334,56,6
Gemma 7B,GSM8K,0.464,56,16
Gemma 7B,HellaSwag,0.7626666666666666,56,18
Gemma 7B,MMLU,0.548,56,22
Gemma 7B,OpenBookQA,0.7146666666666667,56,23
Gemma 7B,PIQA,0.6240000000000001,56,26
Gemma 7B,TriviaQA,0.723,56,33
Gemma 7B,Winogrande,0.5800000000000001,56,37
Grok 3,ARC-AGI,0.055,79,3
Grok 3,Aider polyglot,0.533,79,1
Grok 3,Balrog,0.295,79,5
Grok 3,Fiction.LiveBench,0.583,79,11
Grok 3,FrontierMath-2025-02-28-Private,0.03793103448275862,79,12
Grok 3,FrontierMath-Tier-4-2025-07-01-Private,0,79,13
Grok 3,GPQA diamond,0.5677609427609428,79,15
Grok 3,Lech Mazur Writing,0.764,79,20
Grok 3,MATH level 5,0.8874622356495468,79,21
Grok 3,OTIS Mock AIME 2024-2025,0.5555555555555556,79,25
Grok 3,SimpleBench,0.2331996932798773,79,28
Grok 3,WeirdML,0.3724,79,36
Grok 4,Aider polyglot,0.7959999999999999,80,1
Grok 4,Balrog,0.436,80,5
Grok 4,Chess Puzzles,0.28,80,8
Grok 4,DeepResearch Bench,0.479,80,10
Grok 4,Fiction.LiveBench,0.944,80,11
Grok 4,FrontierMath-2025-02-28-Private,0.19655172413793104,80,12
Grok 4,FrontierMath-Tier-4-2025-07-01-Private,0.02083333333333333,80,13
Grok 4,GPQA diamond,0.8266666666666667,80,15
Grok 4,GeoBench,0.45,80,14
Grok 4,Lech Mazur Writing,0.8068,80,20
Grok 4,OTIS Mock AIME 2024-2025,0.84,80,25
Grok 4,SimpleBench,0.5259998103999242,80,28
Grok 4,SimpleQA Verified,0.479,80,29
Grok 4,Terminal Bench,0.272,80,31
Grok 4,WeirdML,0.4573,80,36
Grok-2,FrontierMath-2025-02-28-Private,0.00689655172413793,77,12
Grok-2,GPQA diamond,0.3838383838383838,77,15
Grok-2,Lech Mazur Writing,0.6360000000000001,77,20
Grok-2,MATH level 5,0.6351963746223565,77,21
Grok-2,OTIS Mock AIME 2024-2025,0.11527777777777778,77,25
Grok-2,SimpleBench,0.07239962895985158,77,28
Grok-2,WeirdML,0.2224,77,36
Grok-3 mini,ARC-AGI,0.165,78,3
Grok-3 mini,Aider polyglot,0.493,78,1
Grok-3 mini,Fiction.LiveBench,0.667,78,11
Grok-3 mini,FrontierMath-2025-02-28-Private,0.05862068965517241,78,12
Grok-3 mini,GPQA diamond,0.6835016835016835,78,15
Grok-3 mini,Lech Mazur Writing,0.735,78,20
Grok-3 mini,MATH level 5,0.9093655589123868,78,21
Grok-3 mini,OTIS Mock AIME 2024-2025,0.7777777777777778,78,25
Grok-3 mini,SimpleQA Verified,0.211,78,29
Grok-3 mini,WeirdML,0.4258,78,36
INTELLECT-1,ARC AI2,0.3936,81,4
INTELLECT-1,BBH,0.1313333333333333,81,6
INTELLECT-1,GSM8K,0.3858,81,16
INTELLECT-1,HellaSwag,0.6189333333333332,81,18
INTELLECT-1,MMLU,0.3318666666666667,81,22
INTELLECT-1,Winogrande,0.3164,81,37
Kimi K2,Aider polyglot,0.5910000000000001,82,1
Kimi K2,Fiction.LiveBench,0.667,82,11
Kimi K2,GSO-Bench,0.049,82,17
Kimi K2,Lech Mazur Writing,0.8729,82,20
Kimi K2,SWE-Bench Verified (Bash Only),0.438,82,30
Kimi K2,SimpleBench,0.1155996462398585,82,28
Kimi K2,Terminal Bench,0.278,82,31
Kimi K2,WeirdML,0.3936,82,36
Kimi K2 Thinking,Chess Puzzles,0.2,83,8
Kimi K2 Thinking,FrontierMath-2025-02-28-Private,0.21403508771929824,83,12
Kimi K2 Thinking,FrontierMath-Tier-4-2025-07-01-Private,0,83,13
Kimi K2 Thinking,GPQA diamond,0.7895622895622895,83,15
Kimi K2 Thinking,OTIS Mock AIME 2024-2025,0.8305555555555556,83,25
Kimi K2 Thinking,SWE-Bench Verified (Bash Only),0.634,83,30
Kimi K2 Thinking,SimpleQA Verified,0.316,83,29
Kimi K2 Thinking,Terminal Bench,0.357,83,31
Kimi K2 Thinking,WeirdML,0.4279,83,36
Kimi K2.5,Chess Puzzles,0.12,84,8
Kimi K2.5,Fiction.LiveBench,0.861,84,11
Kimi K2.5,FrontierMath-2025-02-28-Private,0.279,84,12
Kimi K2.5,FrontierMath-Tier-4-2025-07-01-Private,0.042,84,13
Kimi K2.5,GPQA diamond,0.8346666666666667,84,15
Kimi K2.5,OSWorld,0.633,84,24
Kimi K2.5,OTIS Mock AIME 2024-2025,0.922,84,25
Kimi K2.5,SimpleQA Verified,0.339,84,29
Kimi K2.5,WeirdML,0.456,84,36
LLaMA-13B,ARC AI2,0.36933333333333335,85,4
LLaMA-13B,BBH,0.17200000000000001,85,6
LLaMA-13B,GSM8K,0.2055,85,16
LLaMA-13B,HellaSwag,0.7226666666666667,85,18
LLaMA-13B,LAMBADA,0.752,85,19
LLaMA-13B,MMLU,0.30266666666666664,85,22
LLaMA-13B,OpenBookQA,0.4186666666666666,85,23
LLaMA-13B,PIQA,0.6020000000000001,85,26
LLaMA-13B,ScienceQA,0.24440000000000003,85,27
LLaMA-13B,TriviaQA,0.779,85,33
LLaMA-13B,Winogrande,0.45999999999999996,85,37
LLaMA-33B,ARC AI2,0.5666666666666668,86,4
LLaMA-33B,BBH,0.3333333333333333,86,6
LLaMA-33B,GSM8K,0.441,86,16
LLaMA-33B,HellaSwag,0.7706666666666666,86,18
LLaMA-33B,LAMBADA,0.772,86,19
LLaMA-33B,MMLU,0.4493333333333333,86,22
LLaMA-33B,OpenBookQA,0.44799999999999995,86,23
LLaMA-33B,PIQA,0.6459999999999999,86,26
LLaMA-33B,TriviaQA,0.838,86,33
LLaMA-33B,Winogrande,0.52,86,37
LLaMA-65B,ARC AI2,0.5933333333333333,87,4
LLaMA-65B,BBH,0.4453333333333333,87,6
LLaMA-65B,GSM8K,0.544,87,16
LLaMA-65B,HellaSwag,0.7893333333333333,87,18
LLaMA-65B,LAMBADA,0.777,87,19
LLaMA-65B,MMLU,0.512,87,22
LLaMA-65B,OpenBookQA,0.4693333333333333,87,23
LLaMA-65B,PIQA,0.6559999999999999,87,26
LLaMA-65B,TriviaQA,0.86,87,33
LLaMA-65B,Winogrande,0.54,87,37
LLaMA-7B,ARC AI2,0.3013333333333333,88,4
LLaMA-7B,BBH,0.11333333333333336,88,6
LLaMA-7B,GSM8K,0.11,88,16
LLaMA-7B,HellaSwag,0.6826666666666666,88,18
LLaMA-7B,LAMBADA,0.733,88,19
LLaMA-7B,MMLU,0.1413333333333333,88,22
LLaMA-7B,OpenBookQA,0.4293333333333333,88,23
LLaMA-7B,PIQA,0.5960000000000001,88,26
LLaMA-7B,ScienceQA,0.1492,88,27
LLaMA-7B,TriviaQA,0.71,88,33
LLaMA-7B,Winogrande,0.4019999999999999,88,37
Llama 2-13B,ARC AI2,0.4706666666666666,89,4
Llama 2-13B,BBH,0.4426666666666666,89,6
Llama 2-13B,GSM8K,0.369,89,16
Llama 2-13B,HellaSwag,0.7426666666666667,89,18
Llama 2-13B,LAMBADA,0.765,89,19
Llama 2-13B,MMLU,0.4080000000000001,89,22
Llama 2-13B,OpenBookQA,0.4266666666666666,89,23
Llama 2-13B,PIQA,0.6160000000000001,89,26
Llama 2-13B,ScienceQA,0.41039999999999993,89,27
Llama 2-13B,TriviaQA,0.796,89,33
Llama 2-13B,Winogrande,0.45599999999999996,89,37
Llama 2-34B,ARC AI2,0.39333333333333337,90,4
Llama 2-34B,BBH,0.25466666666666665,90,6
Llama 2-34B,GSM8K,0.422,90,16
Llama 2-34B,MMLU,0.5013333333333333,90,22
Llama 2-34B,OpenBookQA,0.4426666666666666,90,23
Llama 2-34B,PIQA,0.6379999999999999,90,26
Llama 2-34B,TriviaQA,0.846,90,33
Llama 2-34B,Winogrande,0.534,90,37
Llama 2-70B,ARC AI2,0.7106666666666667,91,4
Llama 2-70B,BBH,0.532,91,6
Llama 2-70B,GPQA diamond,0.017676767676767662,91,15
Llama 2-70B,GSM8K,0.696,91,16
Llama 2-70B,HellaSwag,0.8039999999999999,91,18
Llama 2-70B,LAMBADA,0.789,91,19
Llama 2-70B,MATH level 5,0.03285498489425981,91,21
Llama 2-70B,MMLU,0.5986666666666666,91,22
Llama 2-70B,OTIS Mock AIME 2024-2025,0,91,25
Llama 2-70B,OpenBookQA,0.4693333333333333,91,23
Llama 2-70B,PIQA,0.6559999999999999,91,26
Llama 2-70B,TriviaQA,0.876,91,33
Llama 2-70B,Winogrande,0.6040000000000001,91,37
Llama 2-7B,ARC AI2,0.2786666666666667,92,4
Llama 2-7B,BBH,0.1888,92,6
Llama 2-7B,GSM8K,0.167,92,16
Llama 2-7B,HellaSwag,0.6960000000000001,92,18
Llama 2-7B,LAMBADA,0.733,92,19
Llama 2-7B,MMLU,0.2773333333333334,92,22
Llama 2-7B,OpenBookQA,0.44799999999999995,92,23
Llama 2-7B,PIQA,0.5760000000000001,92,26
Llama 2-7B,ScienceQA,0.24106666666666668,92,27
Llama 2-7B,TriviaQA,0.737,92,33
Llama 2-7B,Winogrande,0.3839999999999999,92,37
Llama 3-70B,Cybench,0.05,93,9
Llama 3-70B,GPQA diamond,0.20749158249158253,93,15
Llama 3-70B,MATH level 5,0.225547583081571,93,21
Llama 3-70B,MMLU,0.7240000000000001,93,22
Llama 3-70B,OTIS Mock AIME 2024-2025,0.04305555555555555,93,25
Llama 3-70B,OpenBookQA,0.3013333333333333,93,23
Llama 3-70B,Winogrande,0.6699999999999999,93,37
Llama 3-8B,ANLI,0.3595003202498398,94,2
Llama 3-8B,ARC AI2,0.7706666666666666,94,4
Llama 3-8B,GPQA diamond,0.014309764309764347,94,15
Llama 3-8B,MATH level 5,0.0612726586102719,94,21
Llama 3-8B,MMLU,0.584,94,22
Llama 3-8B,OTIS Mock AIME 2024-2025,0.00833333333333333,94,25
Llama 3-8B,OpenBookQA,0.7679999999999999,94,23
Llama 3-8B,TriviaQA,0.677,94,33
Llama 3-8B,Winogrande,0.514,94,37
Llama 3.1-405B,ARC AI2,0.9373333333333332,95,4
Llama 3.1-405B,BBH,0.7719999999999999,95,6
Llama 3.1-405B,Cybench,0.075,95,9
Llama 3.1-405B,GPQA diamond,0.3455387205387206,95,15
Llama 3.1-405B,HellaSwag,0.856,95,18
Llama 3.1-405B,MATH level 5,0.49773413897280966,95,21
Llama 3.1-405B,MMLU,0.7933333333333333,95,22
Llama 3.1-405B,OTIS Mock AIME 2024-2025,0.09722222222222222,95,25
Llama 3.1-405B,OpenBookQA,0.32266666666666666,95,23
Llama 3.1-405B,PIQA,0.718,95,26
Llama 3.1-405B,SimpleBench,0.07599963039985216,95,28
Llama 3.1-405B,The Agent Company,0.074,95,32
Llama 3.1-405B,TriviaQA,0.827,95,33
Llama 3.1-405B,WeirdML,0.2138,95,36
Llama 3.1-405B,Winogrande,0.784,95,37
Llama 3.1-70B,Balrog,0.279,96,5
Llama 3.1-70B,GPQA diamond,0.2558922558922559,96,15
Llama 3.1-70B,MATH level 5,0.36678625377643503,96,21
Llama 3.1-70B,MMLU,0.7346666666666667,96,22
Llama 3.1-70B,OTIS Mock AIME 2024-2025,0.03611111111111111,96,25
Llama 3.1-70B,The Agent Company,0.069,96,32
Llama 3.1-70B,WeirdML,0.0897,96,36
Llama 3.1-8B,Balrog,0.151,97,5
Llama 3.1-8B,GPQA diamond,0.012626262626262616,97,15
Llama 3.1-8B,GSM8K,0.824,97,16
Llama 3.1-8B,MATH level 5,0.22875755287009064,97,21
Llama 3.1-8B,MMLU,0.41466666666666674,97,22
Llama 3.1-8B,OTIS Mock AIME 2024-2025,0.025,97,25
Llama 3.1-8B,PIQA,0.6240000000000001,97,26
Llama 3.1-8B,WeirdML,0.0173,97,36
Llama 3.2 90B,Balrog,0.273,98,5
Llama 3.2 90B,GPQA diamond,0.2138047138047138,98,15
Llama 3.2 90B,GeoBench,0.52,98,14
Llama 3.2 90B,MATH level 5,0.3943542296072507,98,21
Llama 3.2 90B,MMLU,0.7373333333333334,98,22
Llama 3.2 90B,OTIS Mock AIME 2024-2025,0.02638888888888889,98,25
Llama 3.3 70B,Balrog,0.23,99,5
Llama 3.3 70B,Fiction.LiveBench,0.333,99,11
Llama 3.3 70B,GPQA diamond,0.29924242424242425,99,15
Llama 3.3 70B,MATH level 5,0.41597432024169184,99,21
Llama 3.3 70B,MMLU,0.8173333333333334,99,22
Llama 3.3 70B,OTIS Mock AIME 2024-2025,0.05138888888888889,99,25
Llama 3.3 70B,SimpleBench,0.03879961551984621,99,28
Llama 3.3 70B,WeirdML,0.1444,99,36
Llama 4 Maverick,ARC-AGI,0.044,100,3
Llama 4 Maverick,Aider polyglot,0.156,100,1
Llama 4 Maverick,Fiction.LiveBench,0.462,100,11
Llama 4 Maverick,FrontierMath-2025-02-28-Private,0.00689655172413793,100,12
Llama 4 Maverick,GPQA diamond,0.5597643097643098,100,15
Llama 4 Maverick,GeoBench,0.52,100,14
Llama 4 Maverick,Lech Mazur Writing,0.637,100,20
Llama 4 Maverick,MATH level 5,0.7301737160120846,100,21
Llama 4 Maverick,OTIS Mock AIME 2024-2025,0.20555555555555555,100,25
Llama 4 Maverick,SWE-Bench Verified (Bash Only),0.2104,100,30
Llama 4 Maverick,SimpleBench,0.1323996529598612,100,28
Llama 4 Maverick,WeirdML,0.2447,100,36
Llama 4 Scout,ARC-AGI,0.005,101,3
Llama 4 Scout,Fiction.LiveBench,0.36,101,11
Llama 4 Scout,FrontierMath-2025-02-28-Private,0,101,12
Llama 4 Scout,GPQA diamond,0.3577441077441077,101,15
Llama 4 Scout,MATH level 5,0.6227341389728097,101,21
Llama 4 Scout,OTIS Mock AIME 2024-2025,0.07777777777777778,101,25
Llama 4 Scout,SWE-Bench Verified (Bash Only),0.0906,101,30
